Province;anio;pib
Sevilla;2013-01-01;17,669
Soria;2013-01-01;22,241
Tarragona;2013-01-01;25,457
Teruel;2013-01-01;23,994
Toledo;2013-01-01;16,325
Valencia;2013-01-01;20,594
Valladolid;2013-01-01;22,240
Bizkaia;2013-01-01;26,850
Zamora;2013-01-01;18,112
Zaragoza;2013-01-01;23,946
Araba/Alava;2014-01-01;34,287
Albacete;2014-01-01;17,691
Alicante/Alacant;2014-01-01;16,875
Almeria;2014-01-01;17,515
Avila;2014-01-01;17,707
Badajoz;2014-01-01;15,710
Illes Balears;2014-01-01;24,454
Barcelona;2014-01-01;26,628
Burgos;2014-01-01;24,708
Caceres;2014-01-01;16,633
Cadiz;2014-01-01;15,703
Castellon/Castello;2014-01-01;22,025
Ceuta;2014-01-01;17,123
Ciudad Real;2014-01-01;18,087
Cordoba;2014-01-01;15,846
A Coruna;2014-01-01;20,607
Cuenca;2014-01-01;19,360
Girona;2014-01-01;25,692
Granada;2014-01-01;16,429
Guadalajara;2014-01-01;17,691
Gipuzkoa;2014-01-01;28,443
Huelva;2014-01-01;16,154
Huesca;2014-01-01;25,476
Jaen;2014-01-01;15,125
Leon;2014-01-01;18,774
Lleida;2014-01-01;27,801
La Rioja;2014-01-01;24,586
Lugo;2014-01-01;20,939
Madrid;2014-01-01;30,776
Malaga;2014-01-01;16,398
Melilla;2014-01-01;15,999
Murcia;2014-01-01;18,606
Navarra;2014-01-01;27,704
Ourense;2014-01-01;18,508
Asturias;2014-01-01;19,588
Palencia;2014-01-01;22,414
Las Palmas;2014-01-01;17,876
Pontevedra;2014-01-01;19,086
Salamanca;2014-01-01;17,553
Santa Cruz de Tenerife;2014-01-01;18,696
Cantabria;2014-01-01;20,747
Segovia;2014-01-01;20,527
Sevilla;2014-01-01;18,032
Soria;2014-01-01;22,749
Tarragona;2014-01-01;26,151
Teruel;2014-01-01;24,326
Toledo;2014-01-01;16,273
Valencia;2014-01-01;21,115
Valladolid;2014-01-01;22,706
Bizkaia;2014-01-01;27,560
Zamora;2014-01-01;18,132
Zaragoza;2014-01-01;24,378
