Sexo;Provincias;Periodo;Total
Ambos sexos;07 Balears, Illes;1977;74,11
Ambos sexos;07 Balears, Illes;1976;73,67
Ambos sexos;07 Balears, Illes;1975;73,63
Ambos sexos;08 Barcelona;2023;84,15
Ambos sexos;08 Barcelona;2022;83,69
Ambos sexos;08 Barcelona;2021;83,48
Ambos sexos;08 Barcelona;2020;82,22
Ambos sexos;08 Barcelona;2019;84,01
Ambos sexos;08 Barcelona;2018;83,54
Ambos sexos;08 Barcelona;2017;83,40
Ambos sexos;08 Barcelona;2016;83,53
Ambos sexos;08 Barcelona;2015;83,23
Ambos sexos;08 Barcelona;2014;83,27
Ambos sexos;08 Barcelona;2013;83,06
Ambos sexos;08 Barcelona;2012;82,57
Ambos sexos;08 Barcelona;2011;82,66
Ambos sexos;08 Barcelona;2010;82,34
Ambos sexos;08 Barcelona;2009;81,98
Ambos sexos;08 Barcelona;2008;81,69
Ambos sexos;08 Barcelona;2007;81,40
Ambos sexos;08 Barcelona;2006;81,38
Ambos sexos;08 Barcelona;2005;80,54
Ambos sexos;08 Barcelona;2004;80,74
Ambos sexos;08 Barcelona;2003;80,05
Ambos sexos;08 Barcelona;2002;80,15
Ambos sexos;08 Barcelona;2001;79,87
Ambos sexos;08 Barcelona;2000;79,71
Ambos sexos;08 Barcelona;1999;79,00
Ambos sexos;08 Barcelona;1998;79,20
Ambos sexos;08 Barcelona;1997;78,92
Ambos sexos;08 Barcelona;1996;78,65
Ambos sexos;08 Barcelona;1995;78,33
Ambos sexos;08 Barcelona;1994;78,27
Ambos sexos;08 Barcelona;1993;77,84
Ambos sexos;08 Barcelona;1992;77,52
Ambos sexos;08 Barcelona;1991;77,25
Ambos sexos;08 Barcelona;1990;76,81
Ambos sexos;08 Barcelona;1989;76,73
Ambos sexos;08 Barcelona;1988;76,99
Ambos sexos;08 Barcelona;1987;77,07
Ambos sexos;08 Barcelona;1986;76,96
Ambos sexos;08 Barcelona;1985;77,07
Ambos sexos;08 Barcelona;1984;77,23
Ambos sexos;08 Barcelona;1983;76,89
Ambos sexos;08 Barcelona;1982;77,48
Ambos sexos;08 Barcelona;1981;76,98
Ambos sexos;08 Barcelona;1980;76,65
Ambos sexos;08 Barcelona;1979;75,87
Ambos sexos;08 Barcelona;1978;75,35
Ambos sexos;08 Barcelona;1977;75,15
Ambos sexos;08 Barcelona;1976;74,42
Ambos sexos;08 Barcelona;1975;73,74
Ambos sexos;48 Bizkaia;2023;84,42
Ambos sexos;48 Bizkaia;2022;83,39
Ambos sexos;48 Bizkaia;2021;83,70
Ambos sexos;48 Bizkaia;2020;82,99
Ambos sexos;48 Bizkaia;2019;83,65
Ambos sexos;48 Bizkaia;2018;83,49
Ambos sexos;48 Bizkaia;2017;83,50
Ambos sexos;48 Bizkaia;2016;83,14
Ambos sexos;48 Bizkaia;2015;82,98
Ambos sexos;48 Bizkaia;2014;83,10
Ambos sexos;48 Bizkaia;2013;83,13
Ambos sexos;48 Bizkaia;2012;82,50
Ambos sexos;48 Bizkaia;2011;82,14
Ambos sexos;48 Bizkaia;2010;82,03
Ambos sexos;48 Bizkaia;2009;81,74
Ambos sexos;48 Bizkaia;2008;81,48
Ambos sexos;48 Bizkaia;2007;81,19
