Air Pollutant,Air Pollutant Description,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,Province,Quality,Respiratory_diseases_total,Life_expectancy_total,pib
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,33.88,ug/m3,Traffic,urban,2.43,41.5408,28.0,Barcelona,BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,42.312,ug/m3,Traffic,urban,2.2503,41.9281,484.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,45.168,ug/m3,Traffic,urban,-0.4472,39.4811,41.0,Valencia,RAZONABLEMENTE BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,45.639,ug/m3,Traffic,urban,-5.9864,37.4053,20.0,Sevilla,RAZONABLEMENTE BUENA,1.333,78.01,12.121
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,25.282,ug/m3,Background,urban,-1.6514,42.8072,449.0,Navarra,BUENA,635.0,80.4,20.562
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,30.715,ug/m3,Traffic,urban,-3.6744,42.3511,929.0,Burgos,BUENA,403.0,80.47,17.824
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,39.401,ug/m3,Traffic,urban,-4.6881,40.6586,1150.0,Avila,BUENA,231.0,80.51,12.532
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,60.915,ug/m3,Traffic,urban,-0.3758,39.4561,11.0,Valencia,RAZONABLEMENTE BUENA,2.187,78.6,15.276
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,57.563,ug/m3,Industrial,suburban,2.2114,41.5356,65.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,49.973,ug/m3,Traffic,urban,2.0074,41.5561,261.0,Barcelona,RAZONABLEMENTE BUENA,4.54,79.71,19.38
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,54.989,ug/m3,Traffic,urban,-5.5872,42.6039,838.0,Leon,RAZONABLEMENTE BUENA,700.0,80.34,13.152
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,18.612,ug/m3,Industrial,suburban,-0.0361,39.9592,44.0,Castellon/Castello,BUENA,436.0,79.17,18.402
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,44.807,ug/m3,Traffic,suburban,-0.8711,41.6703,195.0,Zaragoza,RAZONABLEMENTE BUENA,973.0,79.68,17.189
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,66.559,ug/m3,Traffic,urban,-3.6803,40.4217,679.0,Madrid,RAZONABLEMENTE BUENA,4.662,80.36,21.177
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,33.633,ug/m3,Traffic,urban,-5.7386,41.5072,720.0,Zamora,BUENA,277.0,81.58,11.051
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,24.418,ug/m3,Industrial,suburban,1.2397,41.1595,77.0,Tarragona,BUENA,630.0,79.2,20.226
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,2.932,ug/m3,Background,rural,-3.1425,41.2742,1360.0,Guadalajara,BUENA,178.0,81.72,14.406
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,20.081,ug/m3,Background,suburban,-4.6953,41.6761,693.0,Valladolid,BUENA,449.0,80.3,16.053
no2,Nitrogen dioxide (air),Annual mean / 1 calendar year,2000-01-01,19.698,ug/m3,Industrial,suburban,-4.9092,41.3164,721.0,Valladolid,BUENA,449.0,80.3,16.053
