Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency,Province
Spain,NET_ES058A,EMEP/VAG/CAMP,ES0012R,ZARRA,SP_46263999_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.128,ug/m3,98.7,3.0,Background,Rural,-1.1008,39.0828,855.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,València / Valencia
Spain,NET_ES058A,EMEP/VAG/CAMP,ES0006R,MAHÓN,SP_07032999_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,0.616,ug/m3,96.22,3.0,Background,Rural,4.3239,39.8761,78.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Illes Balears
Spain,NET_ES211A,CCAA Extremadura,ES1601A,BADAJOZ,SP_06015001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.018,ug/m3,93.19,3.0,Background,Urban,-7.0115,38.8876,390.0,Badajoz                                                                         ,ES017C1                                           ,150984.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Badajoz
Spain,NET_ES212A,CCAA Galicia,ES0339A,XOVE,SP_27025015_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.648,ug/m3,99.19,3.0,Industrial,Suburban,-7.5078,43.6863,60.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Lugo
Spain,NET_ES212A,CCAA Galicia,ES1798A,LA GRELA,SP_15030021_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,5.139,ug/m3,99.08,3.0,Industrial,Urban,-8.4249,43.3542,65.0,A Coruña                                                                        ,ES026C1                                           ,247604.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,A Coruña
Spain,NET_ES212A,CCAA Galicia,ES2063A,LOPE DE VEGA,SP_36057026_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.843,ug/m3,97.04,3.0,Traffic,Urban,-8.7111,42.2224,30.0,Vigo                                                                            ,ES022C1                                           ,296692.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Pontevedra
Spain,NET_ES205A,CCAA Islas Canarias,ES1954A,BALSA DE ZAMORA-LOS REALEJOS,SP_38031001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,2.506,ug/m3,98.92,3.0,Background,Rural,-16.5707,28.3831,371.0,Puerto de la Cruz                                                               ,ES550K1                                           ,67219.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Santa Cruz de Tenerife
Spain,NET_ES205A,CCAA Islas Canarias,ES1756A,CALETILLA,SP_38011004_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,1.341,ug/m3,95.05,3.0,Industrial,Urban,-16.3619,28.3767,24.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Santa Cruz de Tenerife
Spain,NET_ES205A,CCAA Islas Canarias,ES1979A,LA GRAMA-BREÑA ALTA,SP_38008001_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,4.19,ug/m3,94.1,3.0,Industrial,Suburban,-17.7756,28.6677,245.0,,,,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Santa Cruz de Tenerife
Spain,NET_ES205A,CCAA Islas Canarias,ES2020A,GARCÍA ESCÁMEZ-STA CRUZ DE TF,SP_38038025_1_38,SO2,Sulphur dioxide (air),P1Y,Annual mean / 1 calendar year,2024,3.931,ug/m3,97.8,3.0,Industrial,Urban,-16.2718,28.4567,119.0,Santa Cruz de Tenerife                                                          ,ES025K1                                           ,368105.0,E2a/UTD AQ e-Reporting,26/04/2025 20:19:50,,,Santa Cruz de Tenerife
